name;website;sourceID
platform.sh;https://platform.sh/;3
CXL;https://cxl.com/institute/;3
10x Genomics;https://10xgenomics.com/;3
2FavBuys;https://2favbuys.com/;3
360Learning;http://en.360learning.com/;3
Aantriksh;https://www.samratfinancialbanking.com/aantriksh;3
AB Tasty;http://www.abtasty.com/;3
Acintya Global Holdings;https://www.b-cube.ai/;3
ADLEDGE;https://adledge.com/;3
Adok;http://www.getadok.com/;3
AdVitam;https://advitam.fr/;3
Affluences;http://affluences.com/;3
Agicap;https://agicap.fr/;3
Agile Sprints Technologies;https://agilesprints.io/;3
AgileBio;http://www.agilebio.com/;3
Agorize;http://www.business.agorize.com/;3
Air&Jobs;http://airnjobs.com/;3
Aircall;http://aircall.io/;3
Alan;http://www.alan.com/;3
ALF;https://thisisalf.com/;3
Algolia;https://www.algolia.com/;3
AlumnForce - Alumni Success Platform;https://www.alumnforce.com/;3
Amalia;https://www.amalia.io/;3
Amplitude;http://amplitude.com/;3
Anaplan;https://www.anaplan.com/;3
Angele;https://www.angele.io/;3
Antescofo;https://www.antescofo.com/jobs;3
Anytime;https://www.anyti.me/;3
AOS;https://www.go-aos.io/;3
Aphilia;https://www.pielectronique.com/;3
App Annie;http://www.appannie.com/;3
Applidium;http://applidium.com/;3
AppsFlyer;http://www.appsflyer.com/;3
Arch Systems;http://www.archsys.io/;3
Artefact;https://artefact.com/;3
Artelys;http://www.artelys.com/;3
Artifakt;https://www.artifakt.io/;3
Asgard.ai;https://asgard.ai/;3
AssoConnect;https://www.assoconnect.com/;3
Assurup;http://assurup.com/;3
Athenian;https://athenian.co/;3
Atka;http://atka.io/;3
Atlas City;https://www.atlascity.co/;3
AvePoint;http://www.avepoint.com/;3
Axego;http://www.axego.fr/;3
Azalead;http://www.azalead.com/;3
AZmed;http://www.azmed.co/;3
Azur Brands;https://azurbrands.com/;3
B4finance;http://www.b4finance.com/;3
Back Market;http://backmarket.com/;3
Backmarket;https://backmarket.fr/;3
BailFacile;https://www.bailfacile.fr/;3
