name;website;sourceID
Cartier;https://fr.indeed.com/cmp/Cartier;2
Métropole Rouen Normandie;https://fr.indeed.com/cmp/M%C3%A9tropole-Rouen-Normandie;2
L'Oréal;https://fr.indeed.com/cmp/L'or%C3%A9al-1;2
Airbus Group;https://fr.indeed.com/cmp/Airbus-Group;2
SMCP;https://fr.indeed.com/cmp/Smcp;2
Eutelsat;https://fr.indeed.com/cmp/Eutelsat;2
Société Générale;https://fr.indeed.com/cmp/Soci%C3%A9t%C3%A9-G%C3%A9n%C3%A9rale-1;2
Guerlain;https://fr.indeed.com/cmp/Guerlain;2
VINCI;https://fr.indeed.com/cmp/Vinci;2
Crédit Agricole;https://fr.indeed.com/cmp/Cr%C3%A9dit-Agricole-1;2
AXA;https://fr.indeed.com/cmp/AXA;2
Peugeot Citroën;https://fr.indeed.com/cmp/Peugeot-Citro%C3%ABn;2
Allianz;https://fr.indeed.com/cmp/Allianz;2
Siemens Gamesa Renewable Energy;https://fr.indeed.com/cmp/Siemens-Gamesa-Renewable-Energy;2
Deloitte;https://fr.indeed.com/cmp/Deloitte;2
Euro Information;https://fr.indeed.com/cmp/Euro-Information;2
Hermès;https://fr.indeed.com/cmp/Herm%C3%A8s-1;2
Devoteam;https://fr.indeed.com/cmp/Devoteam;2
Grant Thornton;https://fr.indeed.com/cmp/Grant-Thornton;2
Positive Thinking Company;https://fr.indeed.com/cmp/Positive-Thinking-Company;2
Groupe Yves Rocher;https://fr.indeed.com/cmp/Groupe-Yves-Rocher;2
Sephora;https://fr.indeed.com/cmp/Sephora;2
ALSTOM;https://fr.indeed.com/cmp/Alstom;2
ArianeGroup;https://fr.indeed.com/cmp/Arianegroup;2
Conseil Régional du Centre-Val de Loire;https://fr.indeed.com/cmp/Conseil-R%C3%A9gional-Du-Centre--val-De-Loire-1;2
CNAF;https://fr.indeed.com/cmp/Cnaf;2
4MURS;https://fr.indeed.com/cmp/4murs;2
Nestlé;https://fr.indeed.com/cmp/Nestl%C3%A9-1;2
Ornikar;https://fr.indeed.com/cmp/Ornikar;2
LABORATOIRES EXPANSCIENCE;https://fr.indeed.com/cmp/Laboratoires-Expanscience;2
VINCI AIRPORTS;https://fr.indeed.com/cmp/Vinci-Airports;2
Microsoft;https://fr.indeed.com/cmp/Microsoft;2
Groupe ADP;https://fr.indeed.com/cmp/Groupe-ADP;2
Renault;https://fr.indeed.com/cmp/Renault;2
SYSTRA;https://fr.indeed.com/cmp/Systra;2
PwC;https://fr.indeed.com/cmp/Pwc;2
Samsung Electronics;https://fr.indeed.com/cmp/Samsung-Electronics-9;2
Thales;https://fr.indeed.com/cmp/Thales;2
AUFEMININ.COM;https://fr.indeed.com/cmp/Aufeminin.com;2
SUEZ;https://fr.indeed.com/cmp/Suez;2
Setec;https://fr.indeed.com/cmp/Setec;2
Tesla;https://fr.indeed.com/cmp/Tesla;2
CRITEO;https://fr.indeed.com/cmp/Criteo;2
Groupe SII;https://fr.indeed.com/cmp/Groupe-Sii;2
Extia;https://fr.indeed.com/cmp/Extia;2
