STARTUP;STARTUP WEBSITE;IDOFFRE;POSTE;CONTRAT;SALAIRE;DIPLOME;EXPERIENCE;TRAVAIL;DESCRIPTION
Adveris;https://www.adveris.fr/;0;Chef de projet Web ;CDI ;;Bac +5 / Master;> 3 ans;Télétravail ponctuel autorisé;"Missions :

Le Chef de Projet a une expérience dans le web et connaît les enjeux techniques et/ou webmarketing liés à internet. Il est en charge de :
Accompagner les clients de l’agence tout au long de la relation
Avoir un rôle de conseil auprès des clients pour permettre aux projets d’être des succès
Concevoir les wireframes et les parcours utilisateurs
Encadrer l’équipe projet au sein de l’agence (direction artistique, développement, webmarketing)
Maîtriser le calendrier et le budget des projets
Répondre aux demandes complémentaires et développer les clients (élaboration de devis, négociation commerciale)
Assurer la recette et le contrôle qualité
Assister l’équipe dirigeante dans sa réflexion stratégique sur l’amélioration continue des méthodes de travail et des outils au sein de l’agence."
Simundia;https://www.simundia.com/;1;Stage - Customer Succes Manager;Stage (5 à 6 mois);Salaire entre 800 € et 1K € / mois;Bac +4;;;"Chez Simundia, les Customer Succes Manager vont nous permettre de maintenir une relation clients et utilisateurs au top ! On a un super produit que nos clients adorent et grâce auquel on a eu une très forte croissance en environ 1 an de commercialisation.

Les avantages

Un environnement super ambitieux : Simundia vient de lever 2m€ pour devenir un leader de l’Edtech
Une startup en hypercroissance : on est passés de 7 à 16 personnes entre avril et décembre et on ne va pas s’arrêter là !
La mission de Simundia qui a du sens : permettre à chacun d’être plus performant, motivé et épanoui dans son travail
Une culture interne de l’ownership, qui vise à permettre à chacun de se développer

Les Missions

Tu travailleras à la fois au sein de l’équipe opérationelle et au sein de l’équipe Account Management, sur des missions très variées :

Communication & marketing :

Newsletter mensuelle pour notre communautés de coachs
Résumés des ressources sur la bibliothèque dans plusieurs langues + enrichissement de la bibliothèque (podcasts, articles, webinars) dans le domaine du développement personnel
Communication sur les webinars Simundia / aide à l’animation et communication post-webinar

Opérations :

Relances des bénéficiaires à travers les différentes étapes de leurs parcours de coaching
Sourcing des coachs en France et à l’international
Aide à la mise en place de process opérationnels
Travail sur des grands projets transverses en lien avec l’account : ROI, analyses et consolidations de données , remontées techs

Animation de la communauté de coach :

Organisation des supervisions, apéros coachs, groupes de réflexion
Formalisation des points trimestriels coachs à partir des retours coachés

Account management :

Suivi clients et préparation des rendez-vous : utilisation, analyses, etc
Aide à la mise en place de process opérationnels et à l’amélioration de l’existant

Le petit plus :

Tu seras en contact directement avec une variété des clients (secteurs, tailles d’entreprise) et de coachés (top niveaux, managers, collab, etc) !"
Skillup.co;https://www.skillup.co/;2;Sales Opération Manager - STAGE;Stage (6 mois);Salaire : 1K € / mois;;;Télétravail ponctuel autorisé;"Sales OPS @Skillup :
Le Sales ops chez Skillup est un membre crucial de l’équipe !
Véritable pivot entre l’équipe de business developer, l’équipe d’account executive et le marketing on se repose sur toi pour coordonner les différentes équipes et analyser la donnée pour aider chacun à être plus efficace.

Notre marché :
Nos clients sont des grands comptes : Accor Hotels, BNP Personnal Finance, Intersport… ayant entre 200 et 2.000 collaborateurs en France et souhaitant digitaliser la gestion des compétences.

Tes missions :

Analyses de données commerciales et marketing
Reporting auprès de l’équipe commerciale et du marketing
Optimisation des process commerciaux et marketing
Pilotage des campagnes de prospection par email
Préqualification les leads inbound
Qualification les leads outbound
Gestion et maintenance du CRM Pipedrive et exploitation d’autres outils de growth hacking (lemlist, coldcrm, lusha, etc.)."
SWOOPIN;https://swoopin.green/;3;Head of Revenues & Business Analyst;Stage ;;Bac +5 / Master;;Télétravail ponctuel autorisé;"📋 Job brief
As the Head of Revenue & Business Analyst, you will lead the revenue insights & planning, global customer lifecycle management, growth engineering and pricing activities and target our futur markets."
Eleven Labs;http://www.eleven-labs.com/;4;Lead Developer JS (H/F);CDI ;;> 3 ans;;Télétravail partiel possible;"La base de contrôle Eleven Labs est à la recherche d’un.e Lead Developer Node.js / React pour rejoindre l’expédition spatiale.

Le Studio d’Eleven Labs c’est une team d’experts dédiée à un projet (Developers, Scrum master, Architect/DevOps). Nos astronautes experts travaillent sur des projets “from scratch” : proposition technique et d’architecture puis développement.

L’équipe du studio intervient également pour des audits de performance ou d’automatisation chez des clients.


En rejoignant Eleven Labs, tu peux compter sur nous pour :

te permettre de choisir ton projet, avec des enjeux techniques, une stack et une équipe qui te correspondent ;
te permettre d’échanger avec d’autres experts JavaScript au sein d’Eleven Labs ;
t’accompagner dans ton évolution de manière personnalisée (ex : devenir coach technique pour les astronautes juniors, être speaker à des conférences externes),
te permettre d’assister aux événements de la communauté pour partager tes connaissances,
héberger des meetups dans nos locaux pour soutenir les communautés techniques, te permettre de rencontrer d’autres développeurs.ses web et ainsi découvrir de nouveaux sujets."
Eleven Labs;http://www.eleven-labs.com/;5;Développeur(se) Fullstack JavaScript Confirmé(e);CDI ;;> 2 ans;;;"La base de contrôle Eleven Labs est à la recherche d’un.e Développeur.se Confirmé.e Fullstack JavaScript pour rejoindre l’expédition spatiale.

Nos clients sont des sites à fort trafic ayant des enjeux de performance et de scalabilité. Nous accompagnons ces sites grand public (secteurs des médias/presse ou encore e-commerce) dans la mise en place et le maintien d’un bon niveau de qualité (process, conception, code) en respectant les principes de la philosophie agile au quotidien.

En nous rejoignant tu peux compter sur nous pour :

te proposer des projets avec des enjeux techniques, une stack et une équipe qui te correspondent et pour t’offrir la liberté de choisir ton client ;
te permettre d’échanger avec d’autres experts JavaScript au sein d’Eleven Labs ;
t’accompagner dans ton évolution de manière personnalisée (ex : devenir coach technique pour les astronautes juniors, être speaker à des conférences externes),
te permettre d’assister aux événements de la communauté pour partager tes connaissances,
héberger des meetups dans nos locaux pour soutenir les communautés techniques, te permettre de rencontrer d’autres développeurs.ses web et ainsi découvrir de nouveaux sujets."
Technology-Everywhere;http://www.technology-everywhere.fr/;6;Architecte (H/F);CDI ;;Bac +5 / Master;> 1 an;;"Ton rôle chez TE :

Animation des sessions techniques de travail avec les clients ;
Intégration des missions de conseil auprès de nos clients pour répondre aux problématiques d’architecture ;
Etude et analyse technique & fonctionnelle de l’architecture ;
Analyse des besoins clients et participation à la rédaction d’appel d’offre ;
Définition des cas d’utilisation macro/ métiers de l’architecture technique et des flux entre les systèmes ;
Identification et anticipation des risques liés à l’implémentation ;
Identifier des solutions candidates pour aller jusqu’à leur prescription ;
Mise en liaison entre la conception technique et la stratégie d’entreprise ;
Participation à des projets d’innovation au sein du “ Garage”, notre usine à MVP.

Ton environnement technologique :

Microservices
APIManagement
Schémas Directeur SI
Roadmap
Ansible
Kafka
Headless
Serverless"
Asys;https://www.asys.fr/;7;Consultant fonctionnel;CDI ;;Bac +4;> 5 ans;;"Engagé dans une stratégie de croissance maîtrisée, Asys recrute un(e) Consultant(e) GTA. Au sein de notre équipe Services, vos principales missions seront les suivantes :

✓ Analyser les besoins du client (atelier recueil du besoin, synthèse d’analyse,…)
✓ Paramétrer l’outil (mettre en forme les résultats de la phase d’analyse de manière logique et ordonnée, paramétrer l’outil et recetter)
✓ Former les utilisateurs (adapter la formation aux besoins spécifiques du client, former l’équipe projet voir d’autres utilisateurs internes)
✓ Assister le client (tenir un tableau de suivi des incidents, les analyser et y apporter des actions correctives)
✓ Assurer la bonne coordination et communication du projet (remonter/alertes le directeur de projet,…)"
Eleven Labs;http://www.eleven-labs.com/;8;Consultant DevOps / SRE;CDI ;;> 1 an;;Télétravail partiel possible;"Eleven Labs est à la recherche d’un nouveau DevOps / SRE (F/H) pour rejoindre son pôle DevOps&Cloud.

Au quotidien, tu es intégré(e) au sein d’une équipe projet chez un client ou dans notre Studio.
En collaboration avec les équipes techniques et métiers du client, tu travailles sur un système d’informations complexe à fort enjeux business. Tout en permettant la continuité de services, tu viens soutenir une démarche d’amélioration continue de l’infra.

En nous rejoignant, tu peux compter sur nous pour :

t’offrir la liberté de choisir ton client
te permettre d’échanger avec d’autres experts dans leurs domaines
t’accompagner dans ton évolution de manière personnalisée
te permettre de participer à des conférences pour partager tes connaissances
héberger des meetups pour rencontrer d’autres DevOps et Cloud Specialists et ainsi découvrir de nouveaux sujets."
OSS - Ventures Builder;https://www.oss.ventures/;9;Alternance - Dev Fullstack @Oplit;Alternance (6 à 12 mois);;Bac +5 / Master;> 1 an;Télétravail ponctuel autorisé;"Mission ⭐

En tant que Développeur(se), tu travailles en lien direct avec le CTO, Soufiane. Tes missions sont notamment les suivantes :

Tu participes à la conception et au développement de nouvelles fonctionnalités
Tu développes et tu améliores les fonctionnalités existantes
Tu rédiges des tests unitaires et des tests d’intégration
Tu traites une grande variété de problèmes techniques
Tu animes les points d’avancement sur ton périmètre
Notre stack technique
Vuejs (>2.6)
Typescript
Firestore
Firebase functions
Continuous Integration (Gitlab CI)
Google Cloud"
