﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿IDOFFRE;POSTE;CONTRAT;SALAIRE;DIPLOME;EXPERIENCE;TRAVAIL;DESCRIPTION;IDSTARTUP








0;Chef de projet digital;Stage (6 à 12 mois);Début :  19 septembre 2020;Bac +4;> 6 mois;Télétravail partiel possible;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles.;8
1;Chargé(e) de projet Digital Learning;CDD / Temporaire (12 mois);Début :  1 décembre 2020;Bac +5 / Master;> 2 ans;SocialTech / GreenTech;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles. 4 ans après son lancement, WeTechCare fait figure d’acteur de référence sur le sujet de l’inclusion numérique en France et bientôt en Belgique.;8
2;STAGE CHARGÉ(E) DE PROJET DIGITAL LEARNING;Stage (6 à 12 mois);Début :  1 janvier 2021;Bac +5 / Master;> 6 mois;SocialTech / GreenTech;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles.;8
3;Growth Marketing;CDD / Temporaire (12 mois);Début :  1 décembre 2020;Bac +5 / Master;> 2 ans;SocialTech / GreenTech;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles. 4 ans après son lancement, WeTechCare fait figure d’acteur de référence sur le sujet de l’inclusion numérique en France et bientôt en Belgique.;8
4;Chef de Projet Le Déclic;CDD / Temporaire ;Paris;> 2 ans;;SocialTech / GreenTech;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles.;8
5;Product owner (alternance);Alternance (12 mois);Début :  1 décembre 2020;Bac +3;> 1 an;Télétravail partiel possible;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles.;8
6;Chef.fe de projets opérations (stage);Stage (6 mois);Début :  4 janvier 2021;Bac +5 / Master;;SocialTech / GreenTech;L’ambition de WeTechCare ? Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles.;8
7;Responsable Sales Ops;CDD / Temporaire (9 à 12 mois);Début :  2 novembre 2020;Bac +5 / Master;> 2 ans;Télétravail partiel possible;L’ambition de WeTechCare ?Construire une société où le numérique simplifie le quotidien de chacun et accélère les parcours d’insertion sociale et professionnelle des plus fragiles. 4 ans après son lancement, WeTechCare fait figure d’acteur de référence sur le sujet de l’inclusion numérique en France et en Belgique.;8
8;Stage de consultant(e) ;Stage (6 mois);Début :  3 janvier 2021;Bac +5 / Master;;SocialTech / GreenTech;WeTechCare est une start-up sociale ayant pour mission de faire du numérique un véritable levier d’inclusion, quand celui-ci est encore un frein à l’accès aux services essentiels pour les populations les plus fragiles.;8



